X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,CITY_NAME2,POP_updated,POP_updated_year,POP_SOURCE_updated,comments
-4887927.709,-2255506.746,160,160,Belo Horizonte,BRA-MGE,Minas Gerais,BR,Brazil,Provincial capital,2375151,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,Belo Horizonte,4963704,2022,citypopulation.de,
-4498865.409,-2312521.109,161,161,Vitoria,BRA-ESA,Espirito Santo,BR,Brazil,Provincial capital,327801,4,"250,000 to 499,999",12850,0,UN_Data_2010_2020,Vitoria,1756172,2022,citypopulation.de,
-4837409.132,-2598381.912,162,162,Rio de Janeiro,BRA-RDJ,Rio de Janeiro,BR,Brazil,Other,6320446,1,"5,000,000 and greater",12920,1,UN_Data_2010_2020,Rio de Janeiro,11760550,2022,citypopulation.de,
-4773491.489,-2612560.355,163,163,Niteroi,BRA-RDJ,Rio de Janeiro,BR,Brazil,Provincial capital,487562,4,"250,000 to 499,999",12930,0,UN_Data_2010_2020,Niteroi,516980,2021,citypopulation.de,
-4931564.38,-280058.0294,164,164,Sao Luis,BRA-MRN,Maranhao,BR,Brazil,Provincial capital,958545,3,"500,000 to 999,999",12590,0,UN_Data_2010_2020,Sao Luis,1054010,2021,citypopulation.de,
-4295708.116,-421427.6123,165,165,Fortaleza,BRA-CEA,Ceara,BR,Brazil,Provincial capital,2452185,2,"1,000,000 to 4,999,999",12650,0,UN_Data_2010_2020,Fortaleza,3424978,2022,citypopulation.de,
-4764697.019,-569039.1776,166,166,Teresina,BRA-PIA,Piaui,BR,Brazil,Provincial capital,767559,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,Teresina,1040765,2022,citypopulation.de,
-3919670.225,-647429.8334,167,167,Natal,BRA-RGN,Rio Grande do Norte,BR,Brazil,Provincial capital,803739,3,"500,000 to 999,999",12690,0,UN_Data_2010_2020,Natal,896710,2021,citypopulation.de,
-3881376.525,-795764.2521,168,168,Joao Pessoa,BRA-PAA,Paraiba,BR,Brazil,Provincial capital,720954,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,Joao Pessoa,1173268,2022,citypopulation.de,
-3886719.531,-903019.5566,169,169,Recife,BRA-PRN,Pernambuco,BR,Brazil,Provincial capital,1537704,2,"1,000,000 to 4,999,999",12730,0,UN_Data_2010_2020,Recife,3783639,2022,citypopulation.de,
-3979418.057,-1082384.62,170,170,Maceio,BRA-ALG,Alagoas,BR,Brazil,Provincial capital,932078,3,"500,000 to 999,999",12750,0,UN_Data_2010_2020,Maceio,1194596,2022,citypopulation.de,
-4125500.504,-1222015.111,171,171,Aracaju,BRA-SRG,Sergipe,BR,Brazil,Provincial capital,571149,3,"500,000 to 999,999",12760,0,UN_Data_2010_2020,Aracaju,1019011,2022,citypopulation.de,
-10551228.87,3416016.813,172,172,Galveston,USA-TEX,Texas,US,United States,Other,50446,6,"50,000 to 99,999",9150,0,US_Census_2019,Galveston,191863,2020,citypopulation.de,
-12729495.38,8968087.477,173,173,Yellowknife,CAN-NTR,Northwest Territories,CA,Canada,Provincial capital,0,0, ,0,0, ,Yellowknife,22600,2023,citypopulation.de,
-14961786.03,8031239.33,174,174,Juneau,USA-ALK,Alaska,US,United States,Provincial capital,31974,7,"Less than 50,000",19580,0,US_Census_2019,Juneau,31555,2023,citypopulation.de,
-10041352.44,3805257.55,175,175,Jackson,USA-MSP,Mississippi,US,United States,Provincial capital,4642,7,"Less than 50,000",5090,0,US_Census_2019,Jackson,143709,2023,citypopulation.de,
-10147105.4,3563462.383,176,176,Baton Rouge,USA-LOU,Louisiana,US,United States,Provincial capital,220236,5,"100,000 to 249,999",8970,0,US_Census_2019,Baton Rouge,631326,2020,citypopulation.de,
-10029740.7,3497944.508,177,177,New Orleans,USA-LOU,Louisiana,US,United States,Other,390144,4,"250,000 to 499,999",8860,0,US_Census_2019,New Orleans,914531,2020,citypopulation.de,
-10620670.86,3474254.169,178,178,Houston,USA-TEX,Texas,US,United States,Other,2320268,2,"1,000,000 to 4,999,999",9240,0,US_Census_2019,Houston,5853575,2020,citypopulation.de,
-16436454.47,9566023.849,179,179,Fairbanks,USA-ALK,Alaska,US,United States,Other,30917,7,"Less than 50,000",0,0,US_Census_2019,Fairbanks,71396,2020,citypopulation.de,
-18397771.87,9500231.603,180,180,Nome,USA-ALK,Alaska,US,United States,Other,3870,7,"Less than 50,000",20400,0,US_Census_2019,Nome,3639,2023,citypopulation.de,
-15033030.39,8563177.647,181,181,Whitehorse,CAN-YTR,Yukon Territory,CA,Canada,Provincial capital,0,0, ,0,0, ,Whitehorse,36315,2023,citypopulation.de,
-16636698.3,8426503.155,182,182,Seward,USA-ALK,Alaska,US,United States,Other,2796,7,"Less than 50,000",19760,0,US_Census_2019,Seward,2735,2023,citypopulation.de,
-17573117.2,2431151.948,183,183,Honolulu,USA-HAW,Hawaii,US,United States,Provincial capital,371657,4,"250,000 to 499,999",56280,0,US_Census_2019,Honolulu,853252,2020,citypopulation.de,
-17262011.83,2239277.283,184,184,Hilo,USA-HAW,Hawaii,US,United States,Other,43050,7,"Less than 50,000",56090,0,US_Census_2019,Hilo,44186,2020,citypopulation.de,
-16686567.65,8672584.027,185,185,Anchorage,USA-ALK,Alaska,US,United States,Other,288000,4,"250,000 to 499,999",19800,0,US_Census_2019,Anchorage,401314,2023,citypopulation.de,
-12635652.73,7086513.002,186,186,Edmonton,CAN-ALB,Alberta,CA,Canada,Provincial capital,1025096,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,Edmonton,1151635,2021,citypopulation.de,
-12695987.65,6626602.082,187,187,Calgary,CAN-ALB,Alberta,CA,Canada,Other,1335145,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,Calgary,1682509,2023,citypopulation.de,
